prompt_idx,n_positions,mean_accept_len
0,64,0.640625
1,64,0.421875
2,64,0.546875
3,64,0.46875
4,64,0.3125
5,64,0.625
6,64,0.328125
7,64,0.203125
8,64,0.734375
9,64,0.328125
10,64,0.359375
11,64,0.828125
12,64,0.40625
13,64,0.3125
14,64,0.609375
15,64,0.53125
16,64,0.671875
17,64,0.34375
18,64,0.375
19,64,1.203125
20,64,0.71875
21,64,0.390625
22,64,0.53125
23,64,0.203125
24,64,0.6875
25,64,0.53125
26,64,0.65625
27,64,0.71875
28,64,0.515625
29,64,0.25
OVERALL,1920,0.5151
