name,category,shape,mse_m6,mse_m4,picked
model.embed_tokens.weight,embed,73448x4096,9.296451935369987e-06,1.3616217074741144e-05,M=6
model.layers.0.mlp.down_proj.weight,down,4096x16384,4.512728992267512e-06,7.14180760041927e-06,M=6
model.layers.0.mlp.gate_proj.weight,gate,16384x4096,2.6114685169886798e-06,4.231293132761493e-06,M=6
model.layers.0.mlp.up_proj.weight,up,16384x4096,3.904118784703314e-06,6.112640221545007e-06,M=6
model.layers.0.self_attn.k_proj.weight,qkv,256x4096,1.0561624321780982e-06,2.1855009890714427e-06,M=6
model.layers.0.self_attn.o_gate.weight,gate,4096x4096,3.986413958045887e-06,6.570628102053888e-06,M=6
model.layers.0.self_attn.o_proj.weight,o_proj,4096x4096,3.869847660098458e-06,6.298732841969468e-06,M=6
model.layers.0.self_attn.q_proj.weight,qkv,4096x4096,2.0116101495659677e-06,3.221942733944161e-06,M=6
model.layers.0.self_attn.v_proj.weight,qkv,256x4096,2.3471393433283083e-06,4.783408257935662e-06,M=6
model.layers.1.mlp.down_proj.weight,down,4096x16384,5.195229277887847e-06,8.143244485836476e-06,M=6
model.layers.1.mlp.gate_proj.weight,gate,16384x4096,3.8039852370275185e-06,6.072846645110985e-06,M=6
model.layers.1.mlp.up_proj.weight,up,16384x4096,4.256171905581141e-06,6.562376256624702e-06,M=6
model.layers.1.self_attn.k_proj.weight,qkv,4096x4096,2.206008957728045e-06,4.0066142901196145e-06,M=6
model.layers.1.self_attn.o_proj.weight,o_proj,4096x4096,4.094519681530073e-06,6.26090104560717e-06,M=6
model.layers.1.self_attn.q_proj.weight,qkv,4096x4096,2.3024533675197745e-06,4.0595241443952546e-06,M=6
model.layers.1.self_attn.v_proj.weight,qkv,4096x4096,3.4640647754713427e-06,5.548498847929295e-06,M=6
model.layers.1.self_attn.z_proj.weight,other,4096x4096,3.4519939617894124e-06,5.388297722674906e-06,M=6
model.layers.2.mlp.down_proj.weight,down,4096x16384,5.594067715719575e-06,8.791664185991976e-06,M=6
model.layers.2.mlp.gate_proj.weight,gate,16384x4096,4.825691576115787e-06,7.309246029763017e-06,M=6
model.layers.2.mlp.up_proj.weight,up,16384x4096,4.863541107624769e-06,7.356311471085064e-06,M=6
model.layers.2.self_attn.k_proj.weight,qkv,4096x4096,3.6654405448643956e-06,6.09797552897362e-06,M=6
model.layers.2.self_attn.o_proj.weight,o_proj,4096x4096,5.279266133584315e-06,7.837532393750735e-06,M=6
model.layers.2.self_attn.q_proj.weight,qkv,4096x4096,3.720376753335586e-06,6.13404881733004e-06,M=6
model.layers.2.self_attn.v_proj.weight,qkv,4096x4096,5.187472197576426e-06,7.797971193213016e-06,M=6
model.layers.2.self_attn.z_proj.weight,other,4096x4096,4.350982635514811e-06,6.52025346425944e-06,M=6
model.layers.3.mlp.down_proj.weight,down,4096x16384,5.486093414219795e-06,8.663827429700177e-06,M=6
model.layers.3.mlp.gate_proj.weight,gate,16384x4096,5.7897500482795294e-06,8.637971404823475e-06,M=6
model.layers.3.mlp.up_proj.weight,up,16384x4096,5.090999366075266e-06,7.614235073560849e-06,M=6
model.layers.3.self_attn.k_proj.weight,qkv,4096x4096,4.936494406138081e-06,8.037706720642745e-06,M=6
model.layers.3.self_attn.o_proj.weight,o_proj,4096x4096,5.615997451968724e-06,8.309856639243662e-06,M=6
