prompt_idx,n_positions,mean_accept_len
0,64,0.125
1,64,0.1875
2,64,0.09375
3,64,0.0625
4,64,0.109375
5,64,0.0625
6,64,0.0625
7,64,0.0625
8,64,0.09375
9,64,0.125
10,64,0.078125
11,64,0.0625
12,64,0.078125
13,64,0.015625
14,64,0.15625
15,64,0.0625
16,64,0.046875
17,64,0.171875
18,64,0.078125
19,64,0.171875
20,64,0.078125
21,64,0.03125
22,64,0.109375
23,64,0.078125
24,64,0.078125
25,64,0.125
26,64,0.078125
27,64,0.046875
28,64,0.109375
29,64,0.0625
OVERALL,1920,0.0901
NLL_MEAN,20,2.7066
PPL,20,14.9779
